Dataset,Method,N_Features,Classifier,Outer_Fold,Inner_Fold,Split,MCC,F1,Sensitivity,Specificity,BACC,Accuracy
male,mRMR,10,RandomForest,1,0,test,0.34528826491882486,0.8732394366197184,0.8611111111111112,0.5,0.6805555555555556,0.7954545454545454
male,mRMR,10,NeuralNetwork,1,0,test,0.3888888888888889,0.8888888888888888,0.8888888888888888,0.5,0.6944444444444444,0.8181818181818182
male,mRMR,10,NaiveBayes,1,0,test,0.44739624349429946,0.8857142857142858,0.8611111111111112,0.625,0.7430555555555556,0.8181818181818182
male,mRMR,10,LogisticRegression,1,0,test,0.5880064914496507,0.9142857142857143,0.8888888888888888,0.75,0.8194444444444444,0.8636363636363636
male,mRMR,10,AdaBoost,1,0,test,0.4658474953124562,0.9210526315789473,0.9722222222222222,0.375,0.6736111111111112,0.8636363636363636
male,mRMR,10,SVM_RBF,1,0,test,0.49951243284357016,0.918918918918919,0.9444444444444444,0.5,0.7222222222222222,0.8636363636363636
male,mRMR,10,RandomForest_TUNED,1,0,test,0.4393747751637468,0.9041095890410958,0.9166666666666666,0.5,0.7083333333333333,0.8409090909090909
male,mRMR,10,AdaBoost_TUNED,1,0,test,0.573885641347411,0.9333333333333333,0.9722222222222222,0.5,0.7361111111111112,0.8863636363636364
male,mRMR,10,NeuralNetwork_TUNED,1,0,test,0.3888888888888889,0.8888888888888888,0.8888888888888888,0.5,0.6944444444444444,0.8181818181818182
male,mRMR,10,SVM_RBF_TUNED,1,0,test,0.3234983196103152,0.9113924050632911,1.0,0.125,0.5625,0.8409090909090909
male,mRMR,10,RandomForest,1,1,val,0.2825264598420043,0.7999999999999999,0.7222222222222222,0.625,0.6736111111111112,0.7045454545454546
male,mRMR,10,RandomForest,1,1,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,NeuralNetwork,1,1,val,0.18401748249129446,0.7878787878787877,0.7222222222222222,0.5,0.6111111111111112,0.6818181818181818
male,mRMR,10,NeuralNetwork,1,1,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,NaiveBayes,1,1,val,0.15821481751152242,0.7692307692307692,0.6944444444444444,0.5,0.5972222222222222,0.6590909090909091
male,mRMR,10,NaiveBayes,1,1,train,0.9219544457292888,0.9855072463768115,0.9714285714285714,1.0,0.9857142857142858,0.9761904761904762
male,mRMR,10,LogisticRegression,1,1,val,0.3268602252303067,0.7741935483870968,0.6666666666666666,0.75,0.7083333333333333,0.6818181818181818
male,mRMR,10,LogisticRegression,1,1,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,AdaBoost,1,1,val,0.24056261216234406,0.823529411764706,0.7777777777777778,0.5,0.6388888888888888,0.7272727272727273
male,mRMR,10,AdaBoost,1,1,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,SVM_RBF,1,1,val,0.408248290463863,0.8695652173913043,0.8333333333333334,0.625,0.7291666666666667,0.7954545454545454
male,mRMR,10,SVM_RBF,1,1,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,RandomForest_TUNED,1,1,val,0.2825264598420043,0.7999999999999999,0.7222222222222222,0.625,0.6736111111111112,0.7045454545454546
male,mRMR,10,RandomForest_TUNED,1,1,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,AdaBoost_TUNED,1,1,val,0.21134098610290408,0.8059701492537312,0.75,0.5,0.625,0.7045454545454546
male,mRMR,10,AdaBoost_TUNED,1,1,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,NeuralNetwork_TUNED,1,1,val,0.23103442669455732,0.761904761904762,0.6666666666666666,0.625,0.6458333333333333,0.6590909090909091
male,mRMR,10,NeuralNetwork_TUNED,1,1,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,SVM_RBF_TUNED,1,1,val,-0.07188851546895894,0.8860759493670887,0.9722222222222222,0.0,0.4861111111111111,0.7954545454545454
male,mRMR,10,SVM_RBF_TUNED,1,1,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,RandomForest,1,2,val,0.3492151478847891,0.9210526315789475,1.0,0.14285714285714285,0.5714285714285714,0.8571428571428571
male,mRMR,10,RandomForest,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,NeuralNetwork,1,2,val,0.3721042037676254,0.9189189189189189,0.9714285714285714,0.2857142857142857,0.6285714285714286,0.8571428571428571
male,mRMR,10,NeuralNetwork,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,NaiveBayes,1,2,val,0.5078333750770081,0.9315068493150684,0.9714285714285714,0.42857142857142855,0.7,0.8809523809523809
male,mRMR,10,NaiveBayes,1,2,train,0.7279522854655585,0.9253731343283582,0.8611111111111112,1.0,0.9305555555555556,0.8863636363636364
male,mRMR,10,LogisticRegression,1,2,val,0.4274373669939289,0.9166666666666667,0.9428571428571428,0.42857142857142855,0.6857142857142857,0.8571428571428571
male,mRMR,10,LogisticRegression,1,2,train,0.816496580927726,0.9565217391304348,0.9166666666666666,1.0,0.9583333333333333,0.9318181818181818
male,mRMR,10,AdaBoost,1,2,val,0.12403473458920847,0.8918918918918919,0.9428571428571428,0.14285714285714285,0.5428571428571428,0.8095238095238095
male,mRMR,10,AdaBoost,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,SVM_RBF,1,2,val,0.2,0.9066666666666667,0.9714285714285714,0.14285714285714285,0.5571428571428572,0.8333333333333334
